K,RMSE
1,6.7763
2,4.494025
3,3.835044444
4,3.6941
5,3.539336
6,3.592727778
7,3.614691837
8,3.54108125
9,3.538776543
10,3.539625
11,3.600159504
12,3.60323125
13,3.620826627
14,3.659637245
15,3.712949778
16,3.748832031
17,3.774403806
18,3.78392716
19,3.75489446
20,3.768099
21,3.779232653
22,3.763205165
23,3.770811909
24,3.788342014
25,3.79881632
26,3.808727071
27,3.819653224
28,3.804175638
29,3.821644233
30,3.801635111
31,3.808180541
32,3.819828906
33,3.774668136
34,3.794623097
35,3.80388751
36,3.809710802
37,3.806018992
38,3.811974654
39,3.823146022
40,3.835953687
41,3.838654729
42,3.826118764
43,3.795875338
44,3.812564773
45,3.81518884
46,3.819798629
47,3.811956134
48,3.815687457
49,3.822714619
50,3.83417572
51,3.848178278
52,3.865090089
53,3.86724037
54,3.877590844
55,3.886681818
56,3.898758514
57,3.916091536
58,3.920241112
59,3.921885292
60,3.928219917
61,3.931837974
62,3.94005065
63,3.943300756
64,3.944052417
65,3.950005041
66,3.947391093
67,3.947943105
68,3.947878417
69,3.952304705
70,3.955924449
71,3.956065371
72,3.961171361
73,3.967358097
74,3.971159921
75,3.980419168
76,3.989573922
77,3.998815786
78,4.009118866
79,4.01141614
80,4.016144585
81,4.027202366
82,4.0336436
83,4.031471617
84,4.035248362
85,4.040930835
86,4.041917993
87,4.045710958
88,4.052387923
89,4.053562879
90,4.052244793
91,4.050081904
92,4.052591296
93,4.060277787
94,4.064417858
95,4.066156606
96,4.068110093
97,4.066017337
98,4.06809067
99,4.069037969
100,4.074563693
