K, SSE
93,413.3695225
88,435.262655
54,457.3024691
67,465.5424371
82,473.6399465
63,474.9231544
36,488.1149691
55,493.3851769
58,497.7907253
16,506.7109375
65,508.5315976
74,510.52374
28,512.0306122
37,516.9970782
95,537.0559557
44,542.9307851
24,547.2413194
46,547.5524575
13,550.8461538
40,563.525
68,570.6740917
72,589.9346065
57,601.6241921
90,611.4609877
48,616.5976563
66,627.2134986
10,652.39
84,675.5442177
98,675.9845898
50,679.7952
32,686.0615234
43,693.9778259
69,715.1218231
89,715.8283045
42,717.3174603
38,719.9743767
8,722.359375
41,723.5145747
30,726.6344444
17,732.7128028
100,736.6277
11,739.2892562
27,751.1536351
62,753.1545265
80,753.589375
86,754.6471065
56,766.9751276
15,784.5066667
61,796.6861059
9,803.0740741
79,804.1247733
14,815.1479592
96,817.882659
81,819.0254534
7,829.3469388
12,832.6388889
53,850.2659309
51,856.9446367
22,859.1983471
97,864.4992029
39,866.3333333
94,867.4302852
87,876.13225
85,881.8801384
31,886.3319459
26,893.2174556
33,895.0697888
60,903.9486111
52,906.3110207
18,916.0432099
34,921.7050173
70,928.3810204
76,932.8608033
64,941.4997559
59,945.2772192
77,948.0271547
49,950.5701791
91,961.985026
19,976.1301939
21,977.6575964
20,990.875
29,1001.510107
83,1002.646973
4,1010.3125
47,1023.303305
45,1077.979259
5,1098.04
35,1127.352653
6,1170.388889
75,1198.607111
1,1476
99,1596.57841
78,1682.810651
73,1839.201351
92,2052.586011
3,2183.777778
2,2218.25
25,2402.4896
23,6983.869565
71,12856.17159
